filename,address,city,state,zipcode,map_year,image_captured_date,image_type,link
1439 Ivy Hill Rd Cockeysville MD 21030.jpg,1439 Ivy Hill Rd,Cockeysville,MD,21030,2022,,Map data,"https://www.google.com/maps/place/1439+Ivy+Hill+Rd,+Cockeysville,+MD+21030/@39.4707549,-76.6982487,17z/data=!3m1!4b1!4m5!3m4!1s0x89c813ce2b212603:0x31e86f7d6512425a!8m2!3d39.4707549!4d-76.69606"
21 Tintern Ct  Unit #104 Lutherville Timonium MD 21093.jpg,21 Tintern Ct  Unit #104,Lutherville Timonium,MD,21093,2022 Google,,Map data,"https://www.google.com/maps/place/21+Tintern+Ct+UNIT+104,+Timonium,+MD+21093/@39.4560185,-76.6586244,17z/data=!3m1!4b1!4m5!3m4!1s0x89c8121d889fed8f:0x77828b46059f2757!8m2!3d39.4560185!4d-76.6564357"
15 Hewetson Ct Lutherville Timonium MD 21093.jpg,15 Hewetson Ct,Lutherville Timonium,MD,21093,2022 Google,Sep 2012,Picture,"https://www.google.com/maps/place/15+Hewetson+Ct,+Timonium,+MD+21093/@39.4548308,-76.6585738,3a,75y,118.4h,90t/data=!3m7!1e1!3m5!1sh_4OVT49DKrMrNJM3NsNIA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dh_4OVT49DKrMrNJM3NsNIA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D118.39744%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m5!3m4!1s0x89c811f674cc0dcd:0x355dc9561b5d80e6!8m2!3d39.4547376!4d-76.6583496"
6 Rainflower Path  Unit #304 Sparks Glencoe MD 21152.jpg,6 Rainflower Path  Unit #304,Sparks Glencoe,MD,21152,2022,,Map data,"https://www.google.com/maps/place/6+Rain+Flower+Path+UNIT+304,+Sparks,+MD+21152/@39.5195147,-76.6417412,17z/data=!3m1!4b1!4m5!3m4!1s0x89c80d5f36c26c1d:0xe00a8da285aeae40!8m2!3d39.5195147!4d-76.6395525"
1208 Maple Leaf Ct Cockeysville MD 21030.jpg,1208 Maple Leaf Ct,Cockeysville,MD,21030,2022 Google,Jun 2012,Picture,"https://www.google.com/maps/place/1208+Maple+Leaf+Ct,+Cockeysville,+MD+21030/@39.5020352,-76.6380224,3a,75y,330.84h,90t/data=!3m7!1e1!3m5!1sb90B8QgFb0cB-kdVRqOs0w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Db90B8QgFb0cB-kdVRqOs0w%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D330.84293%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m5!3m4!1s0x89c80d7cfe7e0ce7:0x72428296d09ce3a8!8m2!3d39.502292!4d-76.638208"
1213 Maple Leaf Ct Cockeysville MD 21030.jpg,1213 Maple Leaf Ct,Cockeysville,MD,21030,2022 Google,Jun 2012,Picture,"https://www.google.com/maps/place/1213+Maple+Leaf+Ct,+Cockeysville,+MD+21030/@39.5023398,-76.6375466,3a,75y,171.06h,90t/data=!3m7!1e1!3m5!1sdM3qflxU9NiXGAM4l1iAWg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DdM3qflxU9NiXGAM4l1iAWg%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D171.06299%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m5!3m4!1s0x89c80d7cf81df9cd:0xe51ef7e0c46eb6c5!8m2!3d39.5021049!4d-76.6375718"
9 Tintern Ct  Unit #303 Lutherville Timonium MD 21093.jpg,9 Tintern Ct  Unit #303,Lutherville Timonium,MD,21093,2022 Google,,Map data,"https://www.google.com/maps/place/9+Tintern+Ct+UNIT+303,+Timonium,+MD+21093/@39.456105,-76.6579578,17z/data=!3m1!4b1!4m5!3m4!1s0x89c8121d8263e185:0x476fa92e436ad7be!8m2!3d39.456105!4d-76.6557691"
14503 Thornton Mill Rd Sparks Glencoe MD 21152.jpg,14503 Thornton Mill Rd,Sparks Glencoe,MD,21152,2022 Google,,Map data,"https://www.google.com/maps/place/14503+Thornton+Mill+Rd,+Sparks+Glencoe,+MD+21152/@39.52129,-76.6581807,17z/data=!3m1!4b1!4m5!3m4!1s0x89c812bc7cbfb2af:0xaa53de0f1039957b!8m2!3d39.52129!4d-76.655992"
1215 Maple Leaf Ct Cockeysville MD 21030.jpg,1215 Maple Leaf Ct,Cockeysville,MD,21030,2022 Google,Jun 2012,Picture,"https://www.google.com/maps/place/1215+Maple+Leaf+Ct,+Cockeysville,+MD+21030/@39.5022467,-76.6376362,3a,75y,156.52h,90t/data=!3m7!1e1!3m5!1sX2VX252_Y1N19iP0KVJF-Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DX2VX252_Y1N19iP0KVJF-Q%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D156.52206%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m5!3m4!1s0x89c80d7cf7064349:0x81c543e033da464e!8m2!3d39.5020545!4d-76.6375484"
320 Melancthon Ave Lutherville Timonium MD 21093.jpg,320 Melancthon Ave,Lutherville Timonium,MD,21093,2022 Google,Aug 2022,Picture,"https://www.google.com/maps/place/320+Melancthon+Ave,+Timonium,+MD+21093/@39.4248852,-76.6268796,3a,75y,4.98h,90t/data=!3m7!1e1!3m5!1sbVh8UpLqhr9sDiMu6e_gBA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DbVh8UpLqhr9sDiMu6e_gBA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D4.9795218%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c80e3b082eebcf:0x7e8e9d3bcf5125ee!8m2!3d39.4251494!4d-76.6268613"
11 Warren Lodge Ct  Unit #2-D Cockeysville MD 21030.jpg,11 Warren Lodge Ct  Unit #2-D,Cockeysville,MD,21030,2022 Google,Aug 2022,Picture,"https://www.google.com/maps/place/11+Warren+Lodge+Ct+2+d,+Cockeysville,+MD+21030/@39.4734586,-76.6379326,3a,75y,34.36h,90t/data=!3m7!1e1!3m5!1szxYefiZixQAyF0BNsu5xvQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DzxYefiZixQAyF0BNsu5xvQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D34.359154%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c80df4d18bd11d:0x8d0ea1c3b94e3dab!8m2!3d39.4736215!4d-76.6377888"
23 Tintern Ct  Unit #301 Lutherville Timonium MD 21093.jpg,23 Tintern Ct  Unit #301,Lutherville Timonium,MD,21093,2022 Google,,Map data,"https://www.google.com/maps/place/23+Tintern+Ct+UNIT+301,+Timonium,+MD+21093/@39.4563326,-76.6591255,17z/data=!3m1!4b1!4m5!3m4!1s0x89c8121d8c52f77d:0x5e1787ef3d44117f!8m2!3d39.4563326!4d-76.6569368"
11820-A Mays Chapel Rd Lutherville Timonium MD 21093.jpg,11820-A Mays Chapel Rd,Lutherville Timonium,MD,21093,2022 Google,,Map data,"https://www.google.com/maps/place/11820+Mays+Chapel+Rd+a,+Timonium,+MD+21093/@39.4489825,-76.6686357,17z/data=!3m1!4b1!4m5!3m4!1s0x89c8118d1b67fe69:0x594ee6f51be3beb9!8m2!3d39.4489825!4d-76.666447"
